population_id,date,year,decimal,abundance,biomass,units,temperature,source,genus_species,max_ctmax,thermal_risk,log_abundance,change_in_log_N,time,thermal_risk_measure,change_in_log_thermal_risk,change_in_thermal_risk
Alosa pseudoharengus_44.03_-69.31_822,1958.001,1958,001,228.3,NA,SSB (Thousands of lbs),3.4830261230469,LPI,Alosa pseudoharengus,23.5,0.13510576164077853,5.43066055353575,NA,NA,2.132247369733913e-4,NA,NA
Coregonus artedi_48_-88_4580,1958.001,1958,001,1.471,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,0.3859424416193005,NA,NA,0.23726556569688786,NA,NA
Coregonus artedi_48.46667_-89.15_4581,1958.001,1958,001,1.646,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,0.498348102254878,NA,NA,0.23726556569688786,NA,NA
Coregonus clupeaformis_45_-82_829,1958.001,1958,001,2314,NA,Number of eggs,0.100061035156273,LPI,Coregonus clupeaformis,20.6,0.12873568932569787,7.746732907753622,NA,NA,0.31206677097732866,NA,NA
Esox lucius_54.12_-3_1111,1958.001,1958,001,1500,NA,Kilograms of females,3.7993103027344,LPI,Esox lucius,20.6,0.18636112232050844,7.313220387090301,NA,NA,0.003786218513864691,NA,NA
Esox lucius_54.18_-3_1110,1958.001,1958,001,800,NA,Kilograms of females,3.7993103027344,LPI,Esox lucius,20.6,0.18636112232050844,6.684611727667927,NA,NA,0.003786218513864691,NA,NA
Perca flavescens_45.625_-81.87611_877,1958.001,1958,001,55.984,NA,Catch per set,0.100061035156273,LPI,Perca flavescens,21.3,0.12003236112861286,4.025065935625332,NA,NA,0.2199097367047013,NA,NA
Salvelinus namaycush_47.15417_-90.5_886,1958.001,1958,001,40,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,3.6888794541139363,NA,NA,0.05035916071866739,NA,NA
Salvelinus namaycush_47.26472_-87.17472_885,1958.001,1958,001,28,NA,Abundance index (percentage of the 1929-1943 mean),0.100061,LPI,Salvelinus namaycush,22.9,0.10228483065110143,3.332204510175204,NA,NA,0.05035916071866739,NA,NA
Coregonus clupeaformis_45_-82_1792,1958.001,1958,001,2314,NA,Eggs,0.100061,GPDD,Coregonus clupeaformis,20.6,0.1287356888731112,7.746732907753622,NA,NA,0.3120668738566696,NA,NA
Esox lucius_54.3_-3_1822,1958.001,1958,001,800,NA,Kg (females),3.79931,GPDD,Esox lucius,20.6,0.18636111667871622,6.684611727667927,NA,NA,0.0037862185912815646,NA,NA
Esox lucius_54.3333333333333_-2.91666666666667_1823,1958.001,1958,001,1500,NA,Kg (females),3.689355,GPDD,Esox lucius,20.6,0.18432320746770742,7.313220387090301,NA,NA,0.0028766094506155197,NA,NA
Sardinops sagax_-35_20_1936,1958.001,1958,001,291,NA,Tonnes,19.635,GPDD,Sardinops sagax,24.3,0.6271936088306562,5.673323267171493,NA,NA,0.06110532106580323,NA,NA
Alosa pseudoharengus_44.03_-69.31_822,1959.001,1959,001,147.8,NA,SSB (Thousands of lbs),5.27947387695315,LPI,Alosa pseudoharengus,23.5,0.16169351597526826,4.995860008514102,-0.43480054502164833,1,1.9505079514196355e-4,-0.08908670009059705,-1.8173941831427752e-5
Coregonus artedi_48_-88_4580,1959.001,1959,001,0.88,NA,Modified Catch,0.100061035156273,LPI,Coregonus artedi,19.8,0.13945770739474975,-0.12783337150988489,-0.5137758131291854,1,0.4464254231618493,0.6320923167966881,0.20915985746496144
