population_id,date,year,decimal,abundance,biomass,units,temperature,source,genus_species,max_ctmax,thermal_risk,log_abundance,change_in_log_N,time,total_days_within3,change_in_thermal_risk_time
Acipenser brevirostrum_41.868056_-73.946667_18287,1985.001,1985,001,0.012,NA,Average catch per trawl haul,0.285180664062523,LPI,Acipenser brevirostrum,27.6,0.06512271059137208,-4.422848629194137,NA,NA,16,NA
Acipenser brevirostrum_41.868056_-73.946667_18287,1986.001,1986,001,0.005,NA,Average catch per trawl haul,3.52080688476565,LPI,Acipenser brevirostrum,27.6,0.09000236677267884,-5.298317366548036,-0.8754687373538994,1,5,-11
Acipenser brevirostrum_41.868056_-73.946667_18287,1987.001,1987,001,0.008,NA,Average catch per trawl haul,4.62908325195315,LPI,Acipenser brevirostrum,27.6,0.10055085346787852,-4.8283137373023015,0.4700036292457348,1,39,34
Acipenser brevirostrum_41.868056_-73.946667_18287,1988.001,1988,001,0.016,NA,Average catch per trawl haul,3.38826904296877,LPI,Acipenser brevirostrum,27.6,0.08881736505301055,-4.135166556742356,0.6931471805599454,1,42,3
Acipenser brevirostrum_41.868056_-73.946667_18287,1989.001,1989,001,0.012,NA,Average catch per trawl haul,2.35442504882815,LPI,Acipenser brevirostrum,27.6,0.08009374682032683,-4.422848629194137,-0.2876820724517808,1,18,-24
Acipenser brevirostrum_41.868056_-73.946667_18287,1990.001,1990,001,0.003,NA,Average catch per trawl haul,0.581781005859398,LPI,Acipenser brevirostrum,27.6,0.06708318252597771,-5.809142990314028,-1.3862943611198908,1,22,4
Acipenser brevirostrum_41.868056_-73.946667_18287,1991.001,1991,001,0.015,NA,Average catch per trawl haul,1.94915161132815,LPI,Acipenser brevirostrum,27.6,0.07691265598242636,-4.199705077879927,1.6094379124341005,1,29,7
Acipenser brevirostrum_41.868056_-73.946667_18287,1992.001,1992,001,0.061,NA,Average catch per trawl haul,3.46831665039065,LPI,Acipenser brevirostrum,27.6,0.08953117995723157,-2.796881414808826,1.4028236630711013,1,2,-27
Acipenser brevirostrum_41.868056_-73.946667_18287,1993.001,1993,001,0.067,NA,Average catch per trawl haul,1.73458251953127,LPI,Acipenser brevirostrum,27.6,0.07527992740437975,-2.703062659591171,0.09381875521765481,1,22,20
Acipenser brevirostrum_41.868056_-73.946667_18287,1994.001,1994,001,0.04,NA,Average catch per trawl haul,4.64840087890627,LPI,Acipenser brevirostrum,27.6,0.10074528158962338,-3.2188758248682006,-0.5158131652770295,1,25,3
